id,book_level,vocab,english_meaning,vietnamese_meaning,word_type,component
2053,HSK 1,零,zero,số không,Noun,今天是零度。(Jīntiān shì líng dù.) – Hôm nay là 0 độ.
2054,HSK 1,楼上,upstairs,trên lầu,Adv,我的房间在楼上。(Wǒ de fángjiān zài lóushàng.) – Phòng của tôi ở tầng trên.
2055,HSK 1,路口,intersection,ngã rẽ,Noun,我们在路口见面。(Wǒmen zài lùkǒu jiànmiàn.) – Chúng ta gặp nhau ở ngã rẽ.
2056,HSK 1,路上,on the way,trên đường,,我在路上。(Wǒ zài lùshàng.) – Tôi đang trên đường.
2057,HSK 1,妈妈,mom,mẹ,Noun,"妈妈，我爱你。(Māmā, wǒ ài nǐ.) – Mẹ, con yêu mẹ."
2058,HSK 1,马路,road,con đường,,马路上有很多车。(Mǎlù shàng yǒu hěn duō chē.) – Trên đường có nhiều xe.
2059,HSK 1,没,not have,"không, chưa",,他还没来。(Tā hái méi lái.) – Anh ấy vẫn chưa tới.
2060,HSK 1,没什么,nothing much,không có gì,,没什么。(Méi shénme.) – Không có gì.
2061,HSK 1,没事儿,it's okay,không sao đâu,,没事儿。(Méi shìr.) – Không có việc gì.
2062,HSK 1,妹妹,younger sister,em gái,,我没有妹妹。(Wǒ méiyǒu mèimei.) – Tôi không có em gái.
2063,HSK 1,门票,admission ticket,vé vào cửa,,门票多少钱？(Ménpiào duōshǎo qián?) – Vé vào cửa bao nhiêu tiền?
2064,HSK 1,朋友们,friends,các bạn,,朋友们都来了。(Péngyǒumen dōu lái le.) – Các bạn đều đã đến.
2065,HSK 1,面包,bread,bánh mì,,早上我常常吃面包。(Zǎoshang wǒ chángcháng chī miànbāo): Buổi sáng tôi thường ăn bánh mì.
2066,HSK 1,面条儿,noodles,mì sợi,,中午我们吃面条儿吧。(Zhōngwǔ wǒmen chī miàntiáor ba): Buổi trưa chúng ta ăn mì nhé.
2067,HSK 1,明年,next year,năm sau,,明年我想去中国。(Míngnián wǒ xiǎng qù Zhōngguó): Năm sau tôi muốn đi Trung Quốc.
2068,HSK 1,哪些,which ones,những cái nào,,你喜欢哪些书？(Nǐ xǐhuan nǎxiē shū?) → Bạn thích những quyển sách nào?
2069,HSK 1,奶,milk,sữa,,牛奶很好喝。(Niúnǎi hěn hǎo hē.) – Sữa bò rất ngon.
2070,HSK 1,男孩儿,boy,"bé trai, cậu bé",,那个男孩儿在笑。(Nà gè nánháir zài xiào.) – Cậu bé kia đang cười.
2071,HSK 1,男生,boy,học sinh nam,,那个男生很聪明。(Nàge nánshēng hěn cōngming.) → Nam sinh đó rất thông minh.
2072,HSK 1,南边,south side,"phía nam, bên nam",,我们住在南边。(Wǒmen zhù zài nánbiān.) → Chúng tôi sống ở phía nam.
2073,HSK 1,女孩儿,girl,"Cô bé, bé gái",,那个女孩儿很聪明。 (Nà gè nǚháir hěn cōngmíng.) – Cô bé đó rất thông minh.
2074,HSK 1,女人,woman,"Phụ nữ, đàn bà",,那个女人在唱歌。 (Nà gè nǚrén zài chànggē.) – Người phụ nữ đó đang hát.
2075,HSK 1,旁边,beside,Bên cạnh,,图书馆在学校旁边。 (Túshūguǎn zài xuéxiào pángbiān.) – Thư viện ở bên cạnh trường học.
2076,HSK 1,起床,get up,thức dậy,,我每天早上六点起床。 (Wǒ měitiān zǎoshang liù diǎn qǐchuáng.) - Mỗi sáng tôi dậy lúc 6 giờ.
2077,HSK 1,汽车,car,ô tô,,我有一辆新汽车。(Wǒ yǒu yí liàng xīn qìchē): Tôi có một chiếc ô tô mới.
2078,HSK 1,前边,in front,phía trước,,商店在前边。(Shāngdiàn zài qiánbian): Cửa hàng ở phía trước.
2079,HSK 1,前天,the day before yesterday,hôm kia,,前天我去了。(Qiántiān wǒ qù le.): Hôm kia tôi đi rồi.
2080,HSK 1,请进,Please come in,mời vào,,"请进，请坐。(Qǐng jìn, qǐng zuò): Mời vào, mời ngồi."
2081,HSK 1,请坐,please have a seat,mời ngồi,,请坐在这里。(Qǐng zuò zài zhèlǐ): Mời ngồi ở đây.
2082,HSK 1,去年,last year,năm ngoái,,去年我去北京了。(Qùnián wǒ qù Běijīng le.) - Năm ngoái tôi đã đi Bắc Kinh.
2083,HSK 1,日,day,ngày,,今天是星期日。(Jīntiān shì xīngqī rì): Hôm nay là Chủ nhật.
2084,HSK 1,日期,date,ngày tháng,,请写下日期。(Qǐng xiě xià rìqī): Làm ơn ghi ngày tháng vào.
2085,HSK 1,肉,meat,thịt,,我不喜欢吃肉。(Wǒ bù xǐhuan chī ròu): Tôi không thích ăn thịt.
2086,HSK 1,商场,shopping mall,trung tâm thương mại,,我们去商场买衣服。(Wǒmen qù shāngchǎng mǎi yīfu): Chúng tôi đi trung tâm thương mại mua quần áo.
2087,HSK 1,上边,above,phía trên,,猫在桌子上边。(Māo zài zhuōzi shàngbian): Con mèo ở trên bàn.
2088,HSK 1,上车,board,lên xe,,他上车了。(Tā shàng chē le): Anh ấy đã lên xe rồi.
2089,HSK 1,上次,last time,lần trước,,上次我们去海边玩。(Shàng cì wǒmen qù hǎibiān wán): Lần trước chúng tôi đi chơi ở biển.
2090,HSK 1,上课,have class,lên lớp,,现在我们正在上课。(Xiànzài wǒmen zhèngzài shàngkè): Hiện tại chúng tôi đang học.
2091,HSK 1,上午,morning,buổi sáng,,上午我去图书馆。(Shàngwǔ wǒ qù túshūguǎn): Buổi sáng tôi đi thư viện.
2092,HSK 1,上学,go to school,đi học,,弟弟每天早上上学。(Dìdi měitiān zǎoshang shàngxué): Em trai tôi đi học mỗi sáng.
2093,HSK 1,身上,on one’s person,trên người,,他身上有一本书。(Tā shēnshang yǒu yì běn shū): Trên người anh ấy có một quyển sách.
2094,HSK 1,生病,to be sick,bị ốm,,"我生病了，不能去上班。(Wǒ shēngbìng le, bù néng qù shàngbān): Tôi bị bệnh, không thể đi làm."
2095,HSK 1,生气,angry,tức giận,,他很生气。(Tā hěn shēngqì) - Anh ấy rất tức giận.
2096,HSK 1,时间,time,thời gian,,我没有时间看电视。(Wǒ méiyǒu shíjiān kàn diànshì): Tôi không có thời gian xem tivi.
2097,HSK 1,事,matter,việc,,这件事我不知道。(Zhè jiàn shì wǒ bù zhīdào): Việc này tôi không biết.
2098,HSK 1,是不是,is it,phải không,,你是不是中国人。(Nǐ shì bù shì Zhōngguó rén): Bạn có phải là người Trung Quốc không?
2099,HSK 1,手,hand,tay,,她手里拿着一朵花。(Tā shǒu lǐ názhe yì duǒ huā): Cô ấy cầm một bông hoa trong tay.
2100,HSK 1,手机,mobile phone,điện thoại,,我的手机坏了。(Wǒ de shǒujī huài le): Điện thoại của tôi bị hỏng rồi.
2101,HSK 1,书包,schoolbag,cặp sách,,我的书包很漂亮。(Wǒ de shūbāo hěn piàoliang): Cặp sách của tôi rất đẹp.
2102,HSK 1,书店,bookstore,hiệu sách,,书店在学校旁边。(Shūdiàn zài xuéxiào pángbiān): Hiệu sách ở bên cạnh trường học.
2103,HSK 1,树,tree,cây,,公园里有很多树。(Gōngyuán lǐ yǒu hěn duō shù): Trong công viên có rất nhiều cây.
2104,HSK 1,水果,fruit,hoa quả,,我每天都吃水果。(Wǒ měitiān dōu chī shuǐguǒ): Mỗi ngày tôi đều ăn hoa quả.
2105,HSK 1,睡,sleep,ngủ,,我要睡了。 (Wǒ yào shuì le.) - Tôi phải ngủ rồi.
2106,HSK 1,送,send,"đưa, tiễn, tặng",,妈妈送我去学校。(Māma sòng wǒ qù xuéxiào): Mẹ đưa tôi đến trường.
2107,HSK 1,她,she,cô ấy,,她很漂亮。(Tā hěn piàoliang): Cô ấy rất xinh đẹp.
2108,HSK 1,她们,they,họ (nữ),,她们是我的老师。(Tāmen shì wǒ de lǎoshī): Họ là giáo viên của tôi.
2109,HSK 1,天,sky,trời,,天快黑了。 (Tiān kuài hēi le.) - Trời sắp tối rồi.
2110,HSK 1,听到,hear,nghe thấy,,我听到了你的声音。(Wǒ tīngdàole nǐ de shēngyīn): Tôi nghe thấy giọng của bạn rồi.
2111,HSK 1,听见,hear,nhìn thấy,,我听见有人说话。(Wǒ tīngjiàn yǒu rén shuōhuà): Tôi nghe thấy có người nói chuyện.
2112,HSK 1,听写,dictation,nghe viết,,我们明天听写。(Wǒmen míngtiān tīngxiě): Ngày mai chúng ta nghe viết chính tả.
2113,HSK 1,同学,classmate,bạn học,,他是我的同学。(Tā shì wǒ de tóngxué): Anh ấy là bạn học của tôi.
2114,HSK 1,外,outside,ngoài,,他在外工作。(Tā zài wài gōngzuò): Anh ấy làm việc ở bên ngoài.
2115,HSK 1,外边,outside,bên ngoài,,外边有很多人。(Wàibian yǒu hěn duō rén): Bên ngoài có rất nhiều người.
2116,HSK 1,外语,foreign language,ngoại ngữ,,我在学外语。(Wǒ zài xué wàiyǔ): Tôi đang học ngoại ngữ.
2117,HSK 1,玩儿,play,chơi,,周末我喜欢跟朋友玩儿。(zhōumò wǒ xǐhuān gēn péngyǒu wánr) Cuối tuần tôi thích chơi với bạn bè.
2118,HSK 1,晚,late,tối,,他今天来得有点晚。(tā jīntiān lái de yǒudiǎn wǎn) Hôm nay anh ấy đến hơi muộn.
2119,HSK 1,晚饭,dinner,bữa tối,,我们一起吃晚饭吧。(wǒmen yīqǐ chī wǎnfàn ba) Chúng ta cùng ăn tối nhé.
2120,HSK 1,网上,online,trên mạng,,我喜欢在网上看电影。(wǒ xǐhuān zài wǎngshang kàn diànyǐng) Tôi thích xem phim trên mạng.
2121,HSK 1,网友,netizen,bạn trên mạng,,我有很多网友。(wǒ yǒu hěn duō wǎngyǒu) Tôi có rất nhiều bạn trên mạng.
2122,HSK 1,忘,forget,quên,,别忘了带手机。(bié wàng le dài shǒujī) Đừng quên mang điện thoại.
2123,HSK 1,问,ask,hỏi,,"老师，我可以问一个问题吗？(lǎoshī, wǒ kěyǐ wèn yí gè wèntí ma) Thưa thầy, em có thể hỏi một câu hỏi không?"
2124,HSK 1,午饭,lunch,bữa trưa,,你吃午饭了吗？(nǐ chī wǔfàn le ma) Bạn ăn trưa chưa?
2125,HSK 1,西,west,phương tây,,太阳从西边下山。(tàiyáng cóng xībiān xiàshān) Mặt trời lặn ở phía tây.
2126,HSK 1,西边,west side,phía tây,,学校在我家的西边。(xuéxiào zài wǒ jiā de xībiān) Trường học ở phía tây nhà tôi.
2127,HSK 1,下边,below,phía dưới,,他坐在我下边。(tā zuò zài wǒ xiàbian) Anh ấy ngồi ở dưới tôi.
2128,HSK 1,下车,get off the vehicle,xuống xe,,我们下车吧。(wǒmen xià chē ba) Chúng ta xuống xe đi.
2129,HSK 1,下课,class is over,tan học,,我们下课了。(wǒmen xiàkè le) Chúng tôi tan học rồi.
2130,HSK 1,想,want,"nghĩ, nhớ, muốn",,我想去中国。(wǒ xiǎng qù Zhōngguó) Tôi muốn đi Trung Quốc.
2131,HSK 1,小孩儿,child,trẻ con,,那个小孩儿很可爱。(nà gè xiǎoháir hěn kě’ài) Đứa trẻ kia rất dễ thương.
2132,HSK 1,小姐,miss,cô gái,,那位小姐是我的朋友。(nà wèi xiǎojiě shì wǒ de péngyǒu) Cô kia là bạn tôi.
2133,HSK 1,小朋友,child,bạn nhỏ,,小朋友们在唱歌。(xiǎopéngyǒu men zài chànggē) Các em nhỏ đang hát.
2134,HSK 1,小时,hour,"giờ, tiếng đồng hồ",,我每天学习两个小时。(wǒ měitiān xuéxí liǎng gè xiǎoshí) Mỗi ngày tôi học hai tiếng.
2135,HSK 1,小学,elementary school,tiểu học,,我弟弟在小学上学。(wǒ dìdi zài xiǎoxué shàngxué) Em trai tôi học ở trường tiểu học.
2136,HSK 1,小学生,elementary school student,học sinh tiểu học,,我是小学生。(wǒ shì xiǎoxuéshēng) Tôi là học sinh tiểu học.
2137,HSK 1,笑,laugh,cười,,他在笑。(tā zài xiào) Cậu ấy đang cười.
2138,HSK 1,新年,New Year,năm mới,,新年快乐！(xīnnián kuàilè) Chúc mừng năm mới!
2139,HSK 1,星期日,Sunday,chủ nhật,,星期日我们去看电影。(xīngqī rì wǒmen qù kàn diànyǐng) Chủ nhật chúng ta đi xem phim.
2140,HSK 1,行,to go,"được, đi",,"行，这个办法很好。(xíng, zhè gè bànfǎ hěn hǎo) Được, cách này rất hay."
2141,HSK 1,学,learn,học,,我在学汉语。(wǒ zài xué Hànyǔ) Tôi đang học tiếng Trung.
2142,HSK 1,页,page,trang,,请看第三页。(qǐng kàn dì sān yè) Xin xem trang thứ ba.
2143,HSK 1,一,one,một,,我有一个哥哥。(wǒ yǒu yí gè gēge) Tôi có một anh trai.
2144,HSK 1,医生,doctor,bác sĩ,,我妈妈是医生。(wǒ māma shì yīshēng) Mẹ tôi là bác sĩ.
2145,HSK 1,一半,half,một nửa,,我吃了一半苹果。(wǒ chī le yí bàn píngguǒ) Tôi đã ăn một nửa quả táo.
2146,HSK 1,一块儿,together,cùng nhau,,我们一块儿去吧。(wǒmen yí kuàir qù ba) Chúng ta cùng đi nhé.
2147,HSK 1,一下,a bit,một chút,,请你看一下。(qǐng nǐ kàn yíxià) Mời bạn xem một chút.
2148,HSK 1,一边,one side,một bên,,"他一边听音乐，一边写字。(tā yìbiān tīng yīnyuè, yìbiān xiě zì) Anh ấy vừa nghe nhạc vừa viết chữ."
2149,HSK 1,一点儿,a little,một chút,,我想吃一点儿米饭。(wǒ xiǎng chī yìdiǎnr mǐfàn) Tôi muốn ăn một ít cơm.
2150,HSK 1,有时候|有时,sometimes,có lúc ,,我有时候去跑步。(wǒ yǒu shíhou qù pǎobù) Thỉnh thoảng tôi đi chạy bộ.
2151,HSK 1,有 些,some,có một vài,,我买了一些香蕉。(wǒ mǎi le yìxiē xiāngjiāo) Tôi đã mua vài quả chuối.
2152,HSK 1,有用,useful,có ích,,这句话很有用。(zhè jù huà hěn yǒuyòng) Câu nói này rất hữu ích.
2153,HSK 1,右,right,bên phải,,请从右边走。(qǐng cóng yòubiān zǒu) Xin đi từ phía bên phải.
2154,HSK 1,右边,right side,bên phải,,银行在学校右边。(yínháng zài xuéxiào yòubiān) Ngân hàng ở bên phải trường học.
2155,HSK 1,雨,rain,mưa,,外面下雨了。(wàimiàn xiàyǔ le) Bên ngoài trời mưa rồi.
2156,HSK 1,元,yuan,"đồng, tệ",,一杯咖啡十元。(yì bēi kāfēi shí yuán) Một cốc cà phê mười tệ.
2157,HSK 1,再,again,lại,,请再给我一点儿水。(qǐng zài gěi wǒ yìdiǎnr shuǐ) Làm ơn cho tôi thêm chút nước nữa.
2158,HSK 1,在家,at home,ở nhà,,我在家做饭。(wǒ zàijiā zuòfàn) Tôi nấu ăn ở nhà.
2159,HSK 1,早饭,breakfast,bữa sáng,,我今天吃早饭了。(wǒ jīntiān chī zǎofàn le.) Hôm nay tôi đã ăn sáng rồi.
2160,HSK 1,站,stand,trạm,,我们在车站等你。(wǒmen zài chēzhàn děng nǐ) Chúng tôi đang đợi bạn ở trạm xe.
2161,HSK 1,找到,find,tìm thấy,,我找到我的钥匙了。(wǒ zhǎodào wǒ de yàoshi le.) Tôi đã tìm thấy chìa khóa rồi.
2162,HSK 1,这边,over here,bên này,,请到这边来。(qǐng dào zhèbiān lái) Mời đến bên này.
2163,HSK 1,这里,here,ở đây,,这里很安静。(zhèlǐ hěn ānjìng) Ở đây rất yên tĩnh.
2164,HSK 1,着,ongoing,đang,,他笑着跟我说话。(tā xiàozhe gēn wǒ shuōhuà) Anh ấy vừa cười vừa nói chuyện với tôi.
2165,HSK 1,真,TRUE,thật,,你真漂亮！(nǐ zhēn piàoliang) Bạn thật xinh đẹp!
2166,HSK 1,真的,really,thật sự,,我真的很喜欢这部电影。(wǒ zhēnde hěn xǐhuan zhè bù diànyǐng) Tôi thật sự rất thích bộ phim này.
2167,HSK 1,知识,knowledge,kiến thức,,学习知识很重要。(xuéxí zhīshi hěn zhòngyào) Học kiến thức là rất quan trọng.
2168,HSK 1,中,middle,giữa,,中午我们一起吃饭吧。(zhōngwǔ wǒmen yìqǐ chīfàn ba) Buổi trưa chúng ta cùng ăn nhé.
2169,HSK 1,中国,China,Trung Quốc,,"中国很大，也很美。(zhōngguó hěn dà, yě hěn měi) Trung Quốc rất rộng và đẹp."
2170,HSK 1,中学生,middle school student,học sinh trung học,,我是中学生。(wǒ shì zhōngxuéshēng) Tôi là học sinh trung học.
2171,HSK 1,字,character,chữ,,他的字很漂亮。 (Tā de zì hěn piàoliang.) - Chữ của anh ấy rất đẹp。
2172,HSK 1,子,child,thường đứng sau tạo nên danh từ,,这张桌子很大。 (Zhè zhāng zhuōzi hěn dà.) - Cái bàn này rất lớn。
2173,HSK 1,走,go,đi,,我们一起走吧。 (Wǒmen yīqǐ zǒu ba.) - Chúng ta cùng đi nhé。
2174,HSK 1,最后,last,cuối cùng,,这是最后一题。 (Zhè shì zuìhòu yī tí.) - Đây là câu hỏi cuối cùng。
2175,HSK 1,左,left,trái,,左边有一个公园。 (Zuǒbiān yǒu yīgè gōngyuán.) - Bên trái có một công viên。
2176,HSK 1,坐下,sit down,ngồi xuống,,"请坐下，休息一下。 (Qǐng zuò xià, xiūxí yīxià.) - Mời ngồi xuống, nghỉ ngơi một chút。"
238,HSK 2,作业,assignment,Bài tập,noun,作业 (assignment) = 作 (do) + 业 (work)
243,HSK 2,便条,note,Ghi chú,noun,"便条 (note) = 便 (convenient) + 条 (strip; slip)  
便 (convenient) = 亻 (person) + 更 (change)  
条 (strip) = 木 (wood) + 夂 (go slowly)"
249,HSK 2,充值,recharge,Nạp tiền,verb,"充值 (recharge) = 充 (fill) + 值 (value)
充 = 亠 (lid) + 儿 (person → full)
值 = 亻(person) + 直 (straight → value)"
252,HSK 2,免费,free (of charge),Miễn phí,adjective,"免费 (free) = 免 (exempt) + 费 (expense)  
免 (exempt) = 勹 (wrap) + 儿 (legs radical)  
费 (expense) = 贝 (shell; money) + 弗 (not)"
259,HSK 2,冰箱,fridge,Tủ lạnh,noun,"冰箱 (fridge) = 冰 (ice) + 箱 (box/chest)
冰 (ice) = 冫(ice radical) + 水 (water)
箱 (box) = 竹 (bamboo) + 相 (mutual)
相 (mutual) = 木 (wood) + 目 (eye)"
281,HSK 2,厨师,chef,Đầu bếp,noun,"厨师 (chef) = 厨 (kitchen) + 师 (master)
厨 (kitchen) = 广(shelter) + 豕(pig)
师 (master) = 巾(cloth) + 帀(go around)"
311,HSK 2,困,trapped,Bị mắc kẹt,verb/adjective,困 (trapped) = 囗 (enclosure) + 木 (tree)
348,HSK 2,小船,boat,Thuyền,noun,"小船 (boat) = 小 (small) + 船 (ship)
小 (small) = three small strokes (pictograph)"
359,HSK 2,希望,wish,Ước,adjective,希望 (wish) = 希 (hope) + 望 (look forward)
365,HSK 2,广告,Advertisement,Quảng cáo,Noun,广 = building; 告 = speak/announce
366,HSK 2,庆祝,celebrate,Kỷ niệm,verb,庆祝 (celebrate) = 庆 (celebrate) + 祝 (wish)
369,HSK 2,度假,vacation,Kỳ nghỉ,verb,"度假 (vacation) = 度 (to spend) + 假 (holiday)  
度 (to spend) = 广 (house) + 廿 (twenty) + 又 (hand)  
假 (holiday) = 亻 (person) + 叚 (borrow; false)"
371,HSK 2,异地,Long-distance,Yêu xa,Adjective,"异地 (long-distance)=异 (different)+地 (place)
异 (different)=巳 (sixth earthly branch)+廾 (two hands)
地 (place)=土 (earth)+也 (also)"
372,HSK 2,强,high standard,Tiêu chuẩn cao,Adjective,强 = 弓 (bow) + 口 (mouth) + 虫 (insect)
377,HSK 2,微博,Weibo (Chinese social media),Weibo,noun,"微博 (Weibo) = 微 (micro) + 博 (broad)  
微 (micro) = 彳 (step) + 山 (mountain) + 攵 (action)  
博 (broad) = 十 (ten) + 尃 (spread)"
383,HSK 2,总结,summarize,Tóm tắt,verb,"总结 (summarize) = 总 (general) + 结 (tie up)
总 = 口 (mouth) + 心 (heart)
结 = 纟(silk/thread) + 吉 (luck)"
392,HSK 2,打字,to type,Gõ máy,verb,"打字 (type) = 打 (hit; strike) + 字 (character) 
打 (hit) = 扌(hand) + 丁 (nail) 
字 (character) = 宀 (roof) + 子 (child)"
405,HSK 2,支付,pay (formal),Thanh toán,verb,"支付 (pay) = 支 (support; pay) + 付 (give; hand over)  
支 (support) = 十 (ten) + 又 (hand)  
付 (give) = 亻 (person) + 寸 (hand/measurement)"
406,HSK 2,收据,receipt,Hóa đơn,noun,"收据 (receipt) = 收 (receive) + 据 (proof; evidence)  
收 (receive) = 丩 (entwine) + 攵 (action hand)  
据 (proof) = 扌(hand) + 居 (reside)"
408,HSK 2,教室,classroom,Phòng học,noun,"教室 (classroom) = 教 (teach) + 室 (room)
教 (teach) = 孝(filial) + 攵(action)
孝 (filial) = 老(old) + 子(child)
室 (room) = 宀(roof) + 至(reach)"
409,HSK 2,散步,take a walk,Đi dạo,verb,"散步 (to take a walk) = 散 (to scatter) + 步 (step)  
散 (scatter) = 攵 (action) + 𢿱 (meal; break apart)  
步 (step) = 止 (stop) + 少 (few)"
410,HSK 2,数,count,Đếm,verb,"数 (count) = 攵 (action hand) + 娄 (bundle; collect)  
娄 (bundle) = 女 (woman) + 米 (rice)"
413,HSK 2,日历,calendar,Lịch,noun,"日历 (calendar) = 日 (sun; day) + 历 (experience; pass)  
历 (experience) = 厂 (cliff) + 力 (strength)"
627,HSK 2, 新鲜,fresh,Trong lành,Adjective,"新 = 立 (stand erect) + 十 (ten) + 小 (small) + 斤 (axe)
鲜 = 鱼 (fish) + 羊 (sheep)"
628,HSK 2,一定,surely,Chắc chắn,Adverb,"一 = 一 (one)
定 = 宀 (roof) + 一 (one) + 龰 (N/A)"
629,HSK 2,一直,continuously,Liên tục,Adverb,"一 = 一 (one)
直 = 十 (ten) + 目 (eye) + 一 (one)"
630,HSK 2,三十,thirty,Ba mươi,Noun,"三十 (thirty)=三 (three)+十 (ten)
三 (three)=一 (one)+一 (one)+一 (one)
十 (ten)=一 (one)+丨 (line)"
631,HSK 2,三十分,half (hour) - formal,Nửa giờ (trang trọng),adjective,三十分 (thirty minutes) = 三十 (thirty) + 分 (minute)
632,HSK 2,上架,shelves,Kệ,Verb,"上架 = 上 (up) + 架 (frame, rack)
架 = 加 (add) + 木 (wood)"
633,HSK 2,上网,surf the internet,Lướt mạng,verb phrase,"上网 (go online) = 上 (up) + 网 (net)  
上 (up) = 一 (one) + 丨 (line)  
网 (net) = 罒 (net radical) + 冂 (open)"
634,HSK 2,下午,Afternoon,Buổi chiều,Noun,"下 = down
 午 = axe (symbol of time)"
635,HSK 2,下次,next time,Lần sau,Noun,"下 = 一 (one) + 卜 (divination)
次 = 冫 (ice) + 欠 (yawn)"
636,HSK 2,下面,under,Dưới,preposition ,"下面 (below) = 下 (down) + 面 (surface)  
下 (down) = 一 (one) + 卜 (divine)  
面 (surface) = 囗 (enclosure) + 因 (cause)"
637,HSK 2,不是,Not (to be),Không phải,Phrase,"不 = stroke with hook (not)
 是 = 日 (sun) + 正 (correct)"
638,HSK 2,不过,But,Nhưng,Conjunction,"不 = 一 (one) + 丿 (bend) + 卜 (divination)
过 = 辶 (walk) + 寸 (thumb)"
639,HSK 2,与,and,Và,Conjunction,与 =  一 (one)
640,HSK 2,专业,speciality; discipline,Chuyên ngành,Noun,"专 = 二 (two) + 丨 (line) + 龴 (N/A)
业 = No glyph available + 丷 (eight/divide) + 一 (one)"
641,HSK 2,世界,world,Thế giới,Noun,"世 = ㇗ (N/A) + 廿 (two hands/twenty)
界 = 田 (field) + 人 (human) + ノ(left-falling stroke) + 丨(vertical stroke)"
642,HSK 2,东西,Things,Đồ vật,Noun,"东 = 一 + 木 (east)
 西 = cover + bird shape (west)"
643,HSK 2,两晚,Two nights,Hai đêm,Noun,"两 = 一 (one) + 从 (N/A) + 冂 (upside down box)
晚 = 日 (sun/day) + ⺈ (knife) + 口 (mouth) + 丨 (line) + 乚 (second)
"
644,HSK 2,中学,middle school,Trung học,Noun,"中 = 口 (mouth) + 丨 (line)
学 = ⺍ (small) + 冖 (cover) + 子 (child)"
645,HSK 2,中间,middle position,Vị trí trung tâm,Noun,"中 = 口 (mouth) + 丨 (line)
间 = 门 (gate) + 日 (sun/day)"
646,HSK 2,为,for the purpose of,Để / Nhằm mục đích,preposition,"为 = 力 (power/force) + ⺀ (dot)
"
647,HSK 2,主意,plan,Kế hoạch,Noun,"主 = 王 (jade) + 丶 (dot)
意 = 音 (sound) + 心 (heart)"
648,HSK 2,主要,main,Chính,Adjective,"主 = 王 (jade) + 丶 (dot)
要 = 覀 (west) + 女 (woman)"
649,HSK 2,之一,one of (sth),Một trong,Noun,"之 =王 (jade) + 丶 (dot) + 戈 (spear) 
一 = 一 (one)"
650,HSK 2,乌云,dark cloud,Mây đen,noun,"乌云 (dark cloud) = 乌 (black) + 云 (cloud)  
乌 (black) = 丿 (slash) + 鸟 (bird)  
云 (cloud) = 二 (two) + 厶 (private)"
651,HSK 2,乒乓球,table tennis,Bóng bàn,noun,乒乓球 (table tennis) = 乒 (ping) + 乓 (pong) + 球 (ball)
652,HSK 2,书法,calligraphy,Thư pháp,Noun,"书 =  丨 (line) + 丶 (dot)
法 = 氵 (water) + 土 (earth) + 厶 (private)"
653,HSK 2,了吧,already?,Đã… chưa?,Adverb,"了 = ㇇ (N/A) + 亅 (hook)
吧 = 口 (mouth) + 丨 (line) + 丨 (line) + 乚 (second)"
654,HSK 2,云南,Yunnan (province),Vân Nam,Noun,"云 = 二 (two) + 厶 (private)
南 = 十 (ten) + 冂 (upside down box) + 丷 (eight/divide) + 干 (dry)"
655,HSK 2,交流,communicate,Giao tiếp,Verb,"交 = 亠 (lid) + 八 (eight/divide) + 乂 (N/A)
流 = 氵 (water) + 亠 (lid) + 厶 (private) + 儿 (legs) + 丨 (line)"
656,HSK 2,交通,transportation,Giao thông,Noun,"交 = 亠 (lid) + 八 (eight/divide) + 乂 (N/A)
通 = 辶 (walk) = 龴 (N/A) + 用 (use)"
657,HSK 2,京剧,Peking Opera,Kinh kịch,Noun,"京 = 亠 (lid) + 口 (mouth) + 小 (small)
剧 = 尸 (corpse) + 十 (ten) + 口 (mouth) + 刂 (knife)"
658,HSK 2,人像,portrait,Chân dung,Noun,"人 = 人 (human)
像 = 亻 (human) + ⺈ (knife) + 口 (mouth) + 丨 (line) + 勹 (wrap)"
659,HSK 2,人口,population,Dân số,Noun,"人 = 人 (human)
口 = 口 (mouth)"
660,HSK 2,人数,number of people,Số người,Noun,"人 = 人 (human)
数 = 米 (rice) + 女 (woman) + ⺙ (knock)"
661,HSK 2,从,From,Từ,preposition,从 (fromy) = 人 (person) + 人 (person)
662,HSK 2,代表,represent,Đại diện,Verb,"代 = 亻 (human) + 弋 (arrow)
表 = 龶 (N/A) + ㇒ (N/A) + ㇗ (N/A) "
663,HSK 2,以后,later,Sau đó,Noun,"以 = 乚 (second) + 丶 (dot) + 人 (human)
后 = ⺁ (cliff) + 一 (one) + 口 (mouth)"
664,HSK 2,价目表,price list,Bảng giá,noun,"价目表 (price list) = 价 (price) + 目 (eye; item) + 表 (list; table)  
价 (price) = 亻 (person) + 介 (introduce)  
目 (eye) = 目 (eye radical itself)  
表 (list) = 衣 (cloth) + 上 (above)"
665,HSK 2,休息,rest,Nghỉ ngơi,Verb,"休 = 亻 (human) + 木 (tree)
息 = 自 (self) + 心 (heart)"
666,HSK 2,优秀,splendid,Tuyệt vời,Adjective,"优 = 亻 (human) + 尢 (lame) + 丶 (dot)
秀 = 禾 (grain) + ㇎ (N/A) + 丿 (bend)"
667,HSK 2,伦敦,London,London,proper noun,"伦敦 (London) = 伦 (ethics/order) + 敦 (honest)
伦 = 亻(person) + 仑(order)
敦 = 攵(action) + 享(enjoy)"
668,HSK 2,但,But,Nhưng,Conjunction,但 = 什 (what) + one
